CENTRE NAME,SERVICE CODE,PHONE NUMBER,LATITUDE,LONGITUDE,SERVICE DAY,HALL,CAMPUS,APOSTLE,Apostleship
ACCRA COLLEGE OF MEDICINE,TC0009,233820805039,5.6486,-0.14,THURSDAY,ACCRA COLLEGE OF MEDICINE,ACM,Agyeman,Isaac Ofori Agyeman
AKUAFFO ANNEX,TC0045,233187505835,5.6471238,-0.1868263,THURSDAY,AKUAFO HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
AKUAFO MAIN,TC0050,233715845240,5.649235,-0.185536,THURSDAY,AKUAFO HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
ALEX KWAPONG 1,TC0002,233184120973,5.6373,-0.18562,WEDNESDAY,ALEX KWAPONG GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
ALEX KWAPONG 2,TC0053,233997631708,5.639012,-0.186176,WEDNESDAY,ALEX KWAPONG GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
ALEX KWAPONG 3,TC0064,233810385794,5.639,-0.186167,THURSDAY,ALEX KWAPONG GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
AMERICAN HOUSE,TC0038,233831565847,5.65042,-0.15257,TUESDAY,AMERICAN HOUSE,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
BANI,TC0013,233491924667,5.6641426,-0.1796943,TUESDAY,BANI GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
BANI 2,TC0061,233001312512,5.6641426,-0.1796943,TUESDAY,BANI GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
CENTRAL LEGON 1,TC0004,233631917381,5.653399,-0.189965,WEDNESDAY,LEGON HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
CENTRAL LEGON 2,TC0040,233687402316,5.653424,-0.189968,WEDNESDAY,COMMONWEALTH HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
CENTRAL LEGON 3,TC0049,233342960952,5.650816,-0.189109,THURSDAY,LEGON HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
COMMONWEALTH,TC0035,233830874051,5.6506504,-0.1925223,WEDNESDAY,COMMONWEALTH HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
COMMONWEALTH CAFETERIA,TC0055,233630780565,5.651134,-0.192516,WEDNESDAY,COMMONWEALTH HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
ELIZABETH SEY,TC0003,233548469696,5.635852,-0.187073,THURSDAY,ELIZABETH SEY GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
ELIZABETH SEY 2,TC0063,233915176484,5.635906,-0.188711,THURSDAY,ELIZABETH SEY GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
ELIZABETH SEY-LITE,TC0048,233973753043,5.635595,-0.18691,WEDNESDAY,ELIZABETH SEY GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
EVANDY,TC0020,233932843395,5.662708,-0.1814246,TUESDAY,EVANDY GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
EVANDY 2,TC0046,233377779399,5.667208,-0.1814246,TUESDAY,EVANDY GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
HAATSO,TC0024,233855366626,5.667064,-0.2059398,WEDNESDAY,HAASTO,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
HEAVENS GATE,TC0033,233728835348,5.6569,-0.1639,THURSDAY,UPSA AYELE GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
HILLA LIMANN 1,TC0001,233265374611,5.6372,-0.1847,THURSDAY,HILLA LIMANN GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
HILLA LIMANN 2,TC0047,233948574381,5.6372,-0.1847,WEDNESDAY,HILLA LIMANN GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
JEAN NELSON 1,TC0014,233469673334,5.6353,-0.1886,THURSDAY,JEAN NELSON GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
JEAN NELSON 2,TC0054,233012533606,5.635738,-0.188125,WEDNESDAY,JEAN NELSON GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
KISSEMANÂ,TC0036,233171433684,5.6399409,-0.2193878,THURSDAY,WESTLANDS GENERAL,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
LAGOS AVENUE,TC0027,233585324710,5.639778,-0.168705,THURSDAY,WESTLANDS GENERAL,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
LANCASTER,TC0015,233034763024,5.6417498,-0.1523514,WEDNESDAY,LANCASTER,LANCASTER,Agyeman,Isaac Ofori Agyeman
LEGON ANNEX A,TC0052,233275402180,5.647802,-0.188588,THURSDAY,LEGON HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
LEGON STAFF VILLAGE,TC0043,233695138892,5.6509307,-0.1774831,WEDNESDAY,LEGON STAFF VILLAGE,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
MADINA FIRESTONE,TC0011,233486493988,5.6705,-0.1742,WEDNESDAY,WESTLANDS GENERAL,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
MENSAH SARBAH MAIN,TC0056,233896568788,5.64622,-0.186964,THURSDAY,SARBAH HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
OLD PENTAGON,TC0023,233836361998,5.6565,-0.1813,WEDNESDAY,PENTAGON 1 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
