CENTRE NAME,SERVICE CODE,PHONE NUMBER,LATITUDE,LONGITUDE,SERVICE DAY,COMMUNITY,TOWN,APOSTLE,Apostleship
ACC ABURI 1,AC0010,233779658326,0,0,THURSDAY,MAMPONG,MAMPONG,Amartey,Emmanuel Amartey
ACC ABURI 2,AC0011,233477619463,0,0,THURSDAY,GYANKAMA,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC ABURI 3,AC0012,233024373465,5.848,-0.174,THURSDAY,AHWRASE,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC ABURI 4,AC0013,233353732948,5.8591,-0.1799,THURSDAY,PEDUASE,AMANOKROM,Amartey,Emmanuel Amartey
ACC ABURI 5,AC0014,233971589717,5.848,-0.1745,THURSDAY,KITASE,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC ABURI 6,AC0015,233427914500,5.912526,-142313,THURSDAY,MAMFE,MAMPONG,Amartey,Emmanuel Amartey
ACC ABURI 7,AC0016,233041884150,5.843043,-0.174231,THURSDAY,KWAMOSO,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC ABURI 8,AC0017,233837344861,5.848,-0.1745,THURSDAY,TUTU,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC ABURI 9,AC0018,233718552116,5.8433,-0.1739,THURSDAY,ABURI,AMANOKROM,Amartey,Emmanuel Amartey
ACC AHWERASE 1,AC0035,233164083058,5.651494,-0.134952,THURSDAY,PEDUASE,MAMPONG,Amartey,Emmanuel Amartey
ACC AHWERASE 10,AC0044,233897555989,5.86452,-0.162366,THURSDAY,GYANKAMA,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC AHWERASE 11,AC0118,233498206637,5.864213,-0.163105,THURSDAY,MAMFE,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC AHWERASE 4,AC0038,233441326983,5.52078,-0.09377,THURSDAY,KWAMOSO,AMANOKROM,Amartey,Emmanuel Amartey
ACC AHWERASE 5,AC0039,233966051410,5.864614,-0.162373,THURSDAY,TUTU,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC AHWERASE 6,AC0040,233701121215,5.867796,-0.158912,THURSDAY,ABURI,MAMPONG,Amartey,Emmanuel Amartey
ACC AHWERASE 7,AC0041,233838554839,5.873862,-0.15748,THURSDAY,AMANOKROM,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC AHWERASE 8,AC0042,233606256393,5.861494,-0.164952,THURSDAY,AKROPONG,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC AHWERASE 9,AC0043,233863695524,5.865504,-0.16268,THURSDAY,MAMPONG,AMANOKROM,Amartey,Emmanuel Amartey
ACC AHWERASE2,AC0036,233672270329,5.8215733,-0.4036939,THURSDAY,KITASE,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC AHWERASE3,AC0037,233132036045,5.867793,-0.158911,THURSDAY,MAMFE,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC AKROPONG 1,AC0073,233280852721,5.964756,-0.094369,THURSDAY,ABURI,AMANOKROM,Amartey,Emmanuel Amartey
ACC AKROPONG 10,AC0082,233458246207,5.986158,-0.085211,THURSDAY,KWAMOSO,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC AKROPONG 11,AC0083,233802212902,5.97056,-0.089167,THURSDAY,TUTU,AMANOKROM,Amartey,Emmanuel Amartey
ACC AKROPONG 12,AC0084,233548119121,5.9670378,-0.0836045,THURSDAY,ABURI,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC AKROPONG 13,AC0119,233481571432,5.950926,-0.072845,THURSDAY,KWAMOSO,MAMPONG,Amartey,Emmanuel Amartey
ACC AKROPONG 2,AC0074,233435990169,5.979209,-0.08696,THURSDAY,AMANOKROM,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC AKROPONG 3,AC0075,233945921777,5.97558,-0.086516,THURSDAY,AKROPONG,MAMPONG,Amartey,Emmanuel Amartey
ACC AKROPONG 4,AC0076,233056771265,5.993001,-0.08375,THURSDAY,MAMPONG,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC AKROPONG 5,AC0077,233588484112,5.968831,-0.089309,THURSDAY,GYANKAMA,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC AKROPONG 6,AC0078,233803844500,5.968169,-0.091437,THURSDAY,AHWRASE,AMANOKROM,Amartey,Emmanuel Amartey
ACC AKROPONG 7,AC0079,233340518495,5.97558,-0.086516,THURSDAY,PEDUASE,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC AKROPONG 8,AC0080,233762176814,5.970109,-0.092904,THURSDAY,KITASE,MAMPONG,Amartey,Emmanuel Amartey
ACC AKROPONG 9,AC0081,233663346403,5.974612,-0.087877,THURSDAY,MAMFE,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC AMANOKROM 1,AC0093,233234890801,0,0,THURSDAY,AHWRASE,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC AMANOKROM 2,AC0094,233769547830,0,0,THURSDAY,PEDUASE,MAMPONG,Amartey,Emmanuel Amartey
ACC AMANOKROM 3,AC0095,233033300197,5.933258,-0.123376,THURSDAY,KITASE,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC AMANOKROM 4,AC0096,233788928124,0,0,THURSDAY,MAMFE,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC AMANOKROM 5,AC0097,233222080015,0,0,THURSDAY,KWAMOSO,AMANOKROM,Amartey,Emmanuel Amartey
ACC AMANOKROM 6,AC0098,233221946085,0,0,THURSDAY,TUTU,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC AMANOKROM 7,AC0099,233360312559,0,0,THURSDAY,ABURI,MAMPONG,Amartey,Emmanuel Amartey
ACC AMANOKROM 8,AC0100,233415665230,0,0,THURSDAY,AMANOKROM,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC AMANOKROM 9,AC0101,233928569805,0,0,THURSDAY,AKROPONG,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC ASHESI 10,AC0124,233784912254,5.7648471,-0.218341,THURSDAY,MAMPONG,MAMPONG,Amartey,Emmanuel Amartey
ACC ASHESI 11,AC0125,233377201751,5.761694,-0.219751,THURSDAY,GYANKAMA,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC ASHESI 6,AC0120,233319334767,5.758093,-0.221063,THURSDAY,TUTU,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC ASHESI 7,AC0121,233588034515,5.753933,-0.209057,THURSDAY,ABURI,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC ASHESI 8,AC0122,233741511231,5.762838,-0.219334,THURSDAY,AMANOKROM,AMANOKROM,Amartey,Emmanuel Amartey
ACC ASHESI 9,AC0123,233320782403,5.762838,-0.219334,THURSDAY,AKROPONG,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC BEREKUSO 1,AC0001,233666450496,5.7578616,-0.223203,THURSDAY,TUTU,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC BEREKUSO 2,AC0002,233000639317,5.7583122,-0.2266477,THURSDAY,ABURI,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC BEREKUSO 3,AC0003,233051423684,5.7609219,-0.2249274,THURSDAY,AMANOKROM,AMANOKROM,Amartey,Emmanuel Amartey
ACC COMET 1,AC0004,233304789317,5.727023,-0.235918,THURSDAY,AKROPONG,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC GYANKAMA 1,AC0102,233896413002,5.817777,-0.187115,THURSDAY,MAMPONG,AMANOKROM,Amartey,Emmanuel Amartey
ACC GYANKAMA 2,AC0103,233613637008,7.9572,-1.0306,THURSDAY,GYANKAMA,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC GYANKAMA 3,AC0104,233192659484,5.81853,-0.1847,THURSDAY,AHWRASE,MAMPONG,Amartey,Emmanuel Amartey
ACC GYANKAMA 4,AC0105,233870458024,5.8187,-0.1995,THURSDAY,PEDUASE,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC GYANKAMA 5,AC0106,233373806741,5.817777,-0.187115,THURSDAY,KITASE,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC GYANKAMA 7,AC0108,233059060448,5.8193168,-0.1861929,THURSDAY,MAMFE,AMANOKROM,Amartey,Emmanuel Amartey
