Community,Name Of Town,Whatsapp Number,Town
25 COMMUNITY,SAKI/DAWHENYA,233260994344,SAKI/DAWHENYA
ABLEKUMA CENTRAL,ABLEKUMA,233616528140,ABLEKUMA
ABLEKUMA SOUTH,ABLEKUMA,233841353466,ABLEKUMA
ABOKOBI,ABOKOBI,233593146560,ABOKOBI
ABURI,AMANOKROM,233000639317,AMANOKROM
ADABRAKA,ADABRAKA,233660537811,ADABRAKA
ADENTA,MADINA TOWNSHIP,233374346119,MADINA TOWNSHIP
ADJIRINGANOR,EAST LEGON,233946199314,EAST LEGON
AHWRASE,ABURI/ PEDUASE / KITASE,233024373465,ABURI/ PEDUASE / KITASE
AKROPONG,ABURI/ PEDUASE / KITASE,233606256393,ABURI/ PEDUASE / KITASE
AMANFROM,ADENTA,233091900675,ADENTA
AMANOKROM,TUTU/ GYANKAMA/ AHWRASE,233838554839,TUTU/ GYANKAMA/ AHWRASE
AMRAHIA,ADENTA,233004300904,ADENTA
APLAKU,KASOA,233024374695,KASOA
ASHAIMAN,ASHAIMAN,233810934227,ASHAIMAN
ASHALEY BOTWE,ASHALEY BOTWE,233531185514,ASHALEY BOTWE
ASHONGMAN,AGBOGBA-ASHONGMAN,233229782810,AGBOGBA-ASHONGMAN
BRITISH ACCRA EAST,BRITISH ACCRA,233981422742,BRITISH ACCRA
BRITISH ACCRA WEST,BRITISH ACCRA,233164772437,BRITISH ACCRA
COMMANDOS RESEARCH,ADENTA,233359348714,ADENTA
DAMSOMAN CENTRAL,DANSOMAN,233782498953,DANSOMAN
DANFA,ABOKOBI,233132340504,ABOKOBI
DANSOMAN CENTRAL,DANSOMAN,233021293496,DANSOMAN
DANSOMAN EAST,DANSOMAN,233477611342,DANSOMAN
DANSOMAN NORTH,DANSOMAN,233294243749,DANSOMAN
DANSOMAN SOITH,DANSOMAN,233335105545,DANSOMAN
DANSOMAN SOUTH,DANSOMAN,233195243946,DANSOMAN
DANSOMAN WEST,DANSOMAN,233411956347,DANSOMAN
DAWHENYA,SAKI/DAWHENYA,233984899002,SAKI/DAWHENYA
DODOWA,ADENTA,233784548164,ADENTA
DOME,DOME,233053402845,DOME
DOME 2,DOME,233482090251,DOME
FIRESTONE,MADINA TOWNSHIP,233675334478,MADINA TOWNSHIP
FOSTER HOME,ADENTA,233597064416,ADENTA
GBAWE MALLAM,GBAWE,233298344337,GBAWE
GBETSILE,SAKI/DAWHENYA,233014377540,SAKI/DAWHENYA
GHANA FLAG,OYARIFA,233322838731,OYARIFA
GOOD NEWS BIBLE SEMINARY,ADENTA,233790090736,ADENTA
GYANKAMA,TUTU/ GYANKAMA/ AHWRASE,233477619463,TUTU/ GYANKAMA/ AHWRASE
HAATSO,HAATSO,233001468340,HAATSO
HAATSO 2,HAATSO,233646822388,HAATSO
JAMESTOWN,BRITISH ACCRA,233654576549,BRITISH ACCRA
KITASE,AKROPONG/ MAMFE/ KWAMOSO,233971589717,AKROPONG/ MAMFE/ KWAMOSO
KWABENYA,KWABENYA,233756343112,KWABENYA
KWAMOSO,TUTU/ GYANKAMA/ AHWRASE,233041884150,TUTU/ GYANKAMA/ AHWRASE
LA NKWANTANANG,MADINA TOWNSHIP,233937473192,MADINA TOWNSHIP
